Date,Time,Temperature,Humidity
11-02-2021,19:30,23.40,21.40
11-02-2021,19:40,23.30,22.80
11-02-2021,19:50,22.90,20.80
11-02-2021,20:00,19.30,25.50
11-02-2021,20:10,17.90,28.20
11-02-2021,20:20,16.80,30.60
11-02-2021,20:30,16.70,31.00
11-02-2021,20:40,16.60,31.70
11-02-2021,20:50,16.60,31.10
11-02-2021,21:00,16.60,30.90
11-02-2021,21:10,16.70,31.30
11-02-2021,21:20,16.60,31.10
11-02-2021,21:30,16.80,31.30
11-02-2021,21:40,16.80,31.20
11-02-2021,21:50,16.90,31.80
11-02-2021,22:00,16.70,31.20
11-02-2021,22:10,16.80,31.40
11-02-2021,22:20,16.70,31.10
11-02-2021,22:30,16.90,31.20
11-02-2021,22:40,16.80,30.50
11-02-2021,22:50,16.80,31.00
11-02-2021,23:00,16.80,30.60
11-02-2021,23:10,16.90,31.20
11-02-2021,23:20,16.80,30.20
11-02-2021,23:30,16.80,30.30
11-02-2021,23:40,16.70,30.50
11-02-2021,23:50,16.70,29.90
12-02-2021,00:00,16.70,30.20
12-02-2021,00:10,16.70,30.50
12-02-2021,00:20,16.30,29.20
12-02-2021,00:30,16.00,28.40
12-02-2021,00:40,15.40,28.00
12-02-2021,00:50,15.10,28.70
12-02-2021,01:00,15.00,27.80
12-02-2021,01:10,14.60,28.00
12-02-2021,01:20,14.60,28.90
12-02-2021,01:30,14.40,27.80
12-02-2021,01:40,14.30,28.60
12-02-2021,01:50,14.20,28.90
12-02-2021,02:00,14.00,28.10
12-02-2021,02:10,13.90,29.10
12-02-2021,02:20,13.90,29.20
12-02-2021,02:30,13.80,28.90
12-02-2021,02:40,13.70,28.80
12-02-2021,02:50,13.70,29.00
12-02-2021,03:00,13.50,28.90
12-02-2021,03:10,13.50,29.10
12-02-2021,03:20,13.50,29.30
12-02-2021,03:30,13.40,29.30
12-02-2021,03:40,13.40,29.30
12-02-2021,03:50,13.30,29.20
12-02-2021,04:00,13.30,29.60
12-02-2021,04:10,13.20,29.50
12-02-2021,04:20,13.20,29.30
12-02-2021,04:30,13.10,29.30
12-02-2021,04:40,13.00,29.10
12-02-2021,04:50,13.00,29.30
12-02-2021,05:00,12.90,29.10
12-02-2021,05:10,12.80,29.40
12-02-2021,05:20,12.80,29.20
12-02-2021,05:30,12.70,29.60
12-02-2021,05:40,12.90,29.20
12-02-2021,05:50,12.60,29.40
12-02-2021,06:00,12.50,29.30
12-02-2021,06:10,12.40,29.20
12-02-2021,06:20,12.40,29.60
12-02-2021,06:30,12.30,29.60
12-02-2021,06:40,12.40,29.80
12-02-2021,06:50,12.30,29.90
12-02-2021,07:00,12.20,29.80
12-02-2021,07:10,12.20,30.00
12-02-2021,07:20,12.20,29.60
12-02-2021,07:30,12.20,29.70
12-02-2021,07:40,12.30,30.50
12-02-2021,07:50,12.50,31.10
12-02-2021,08:00,12.80,31.70
12-02-2021,08:10,13.10,31.60
12-02-2021,08:20,13.30,32.10
12-02-2021,08:30,13.50,31.50
12-02-2021,08:40,13.70,29.20
12-02-2021,08:50,14.20,30.20
12-02-2021,09:00,14.40,30.30
12-02-2021,09:10,14.80,30.30
12-02-2021,09:20,15.30,32.20
12-02-2021,09:30,15.90,30.60
12-02-2021,09:40,16.50,29.00
12-02-2021,09:50,19.00,26.30
12-02-2021,10:00,19.40,24.80
12-02-2021,10:10,18.90,25.20
12-02-2021,10:20,18.60,25.20
12-02-2021,10:30,18.90,26.10
12-02-2021,10:40,19.50,24.80
12-02-2021,10:50,19.60,24.80
12-02-2021,11:00,19.60,25.00
12-02-2021,11:10,19.60,24.50
12-02-2021,11:20,19.80,24.70
12-02-2021,11:30,19.70,24.80
12-02-2021,11:40,19.70,25.40
12-02-2021,11:50,19.60,25.40
12-02-2021,12:00,19.50,25.90
12-02-2021,12:10,19.50,25.90
12-02-2021,12:20,19.40,26.50
12-02-2021,12:30,19.70,26.90
12-02-2021,12:40,19.70,27.20
12-02-2021,12:50,19.80,26.60
12-02-2021,13:00,19.80,26.60
12-02-2021,13:10,19.20,25.90
12-02-2021,13:20,19.30,26.70
12-02-2021,13:30,19.30,24.00
12-02-2021,13:40,19.10,26.40
12-02-2021,13:50,19.30,26.00
12-02-2021,14:00,19.40,26.30
12-02-2021,14:10,19.40,26.10
12-02-2021,14:20,19.30,26.30
12-02-2021,14:30,19.10,26.60
12-02-2021,14:40,18.90,27.00
12-02-2021,14:50,18.60,27.30
12-02-2021,15:00,18.50,27.30
12-02-2021,15:10,18.30,27.80
12-02-2021,15:20,18.00,28.00
12-02-2021,15:30,17.80,28.20
12-02-2021,15:40,17.50,25.20
12-02-2021,15:50,17.30,26.20
12-02-2021,16:00,17.30,27.40
12-02-2021,16:10,17.20,28.10
12-02-2021,16:20,17.10,27.30
12-02-2021,16:30,16.80,26.60
12-02-2021,16:40,16.70,26.80
12-02-2021,16:50,16.70,27.10
12-02-2021,17:00,16.70,28.10
12-02-2021,17:10,16.50,25.10
12-02-2021,17:20,16.60,28.50
12-02-2021,17:30,17.10,36.70
12-02-2021,17:40,17.30,39.90
12-02-2021,17:50,17.40,37.10
12-02-2021,18:00,17.30,34.60
12-02-2021,18:10,17.30,34.80
12-02-2021,18:20,17.20,33.90
12-02-2021,18:30,17.00,33.10
12-02-2021,18:40,17.00,32.50
12-02-2021,18:50,17.00,32.70
12-02-2021,19:00,16.90,32.10
12-02-2021,19:10,17.00,31.50
12-02-2021,19:20,17.00,31.30
12-02-2021,19:30,17.00,31.30
12-02-2021,19:40,17.00,31.30
12-02-2021,19:50,17.00,30.60
12-02-2021,20:00,17.10,30.60
12-02-2021,20:10,17.10,31.00
12-02-2021,20:20,17.10,30.80
12-02-2021,20:30,16.80,29.40
12-02-2021,20:40,16.90,30.10
12-02-2021,20:50,16.90,29.90
12-02-2021,21:00,16.90,30.20
12-02-2021,21:10,16.90,29.70
12-02-2021,21:20,16.80,30.00
12-02-2021,21:30,16.80,30.10
12-02-2021,21:40,16.90,29.70
12-02-2021,21:50,16.80,30.00
12-02-2021,22:00,16.80,29.90
12-02-2021,22:10,16.80,30.20
12-02-2021,22:20,16.70,29.70
12-02-2021,22:30,16.70,29.00
12-02-2021,22:40,16.60,29.00
12-02-2021,22:50,16.60,29.00
12-02-2021,23:00,16.50,28.60
12-02-2021,23:10,16.50,29.10
12-02-2021,23:20,16.40,29.00
